,Id,Partner,PartnerExposureDate,Total Impressions,LogoImpressions,FollowerInteractionRate,BrandExposureValue,Engagement,ServiceType
0,411474690,Rakuten,1/1/2023 8:03:55 AM,6475.0,1136.0,0.0067232651339379,99.78511,510,Instagram
1,1785077405,Rakuten,1/1/2023 8:03:58 AM,409.0,0.0,0.0006998512816026,6.257193,8,Facebook
2,664086304,Rakuten,1/1/2023 8:04:15 AM,662.0,117.0,0.0072526834928923,20.64626,25,Twitter
3,-1779975303,Rakuten,1/1/2023 10:29:30 AM,12604.0,2212.0,0.0014249363867684,14.96508,56,Twitter
4,-2012006305,Rakuten,1/1/2023 3:02:06 PM,441764.0,0.0,0.0008969357562382,1368.036,10479,Facebook
5,-271307794,Rakuten,1/1/2023 7:24:52 PM,223289.0,39174.0,0.0004401892540999,882.3887,3550,Twitter
6,367680877,Rakuten,1/1/2023 7:24:57 PM,285376.0,0.0,0.0004980693926472,787.0593,5819,Facebook
7,535285329,Rakuten,1/1/2023 7:49:45 PM,2271.0,0.0,0.0040687435477014,10.51207,67,Twitter
9,230569665,Rakuten,1/1/2023 7:51:30 PM,17124.0,0.0,0.0586850582307756,124.3831,4263,Instagram
11,-959563054,Rakuten,1/1/2023 7:51:35 PM,1863.0,0.0,0.0007621951219512,4.763497,32,Facebook
13,1968561488,Rakuten,1/1/2023 7:54:13 PM,13078.0,2295.0,0.0,9.741973,0,Instagram Story
14,-2105419654,Rakuten,1/1/2023 8:43:18 PM,747015.0,0.0,0.0033225309677028,6228.702,90554,Instagram
15,1168946723,Rakuten,1/1/2023 8:45:00 PM,360027.0,63163.0,0.0005811585352622,996.7177,4687,Twitter
16,468607639,Rakuten,1/1/2023 8:45:01 PM,331003.0,0.0,0.0007265188184893,1012.283,8488,Facebook
17,-1529023541,Rakuten,1/1/2023 9:08:13 PM,471973.0,82803.0,0.0,503.7395,0,Instagram Story
18,-1334633186,Rakuten,1/1/2023 9:08:46 PM,428357.0,75151.0,0.0,512.8886,0,Instagram Story
19,1918618843,Rakuten,1/1/2023 9:11:46 PM,410459.0,72011.0,0.0,353.3026,0,Instagram Story
20,1390947111,Rakuten,1/1/2023 9:17:38 PM,398947.0,69991.0,0.0,194.948,0,Instagram Story
21,-1490777177,Rakuten,1/1/2023 9:18:07 PM,388892.0,68227.0,0.0,211.2584,0,Instagram Story
22,519177652,Rakuten,1/2/2023 12:31:30 AM,15429.0,2707.0,0.0030527360146531,13.31706,120,Twitter
23,812462614,Rakuten,1/2/2023 1:32:00 AM,11711.0,2055.0,0.0014754140062577,12.9476,58,Twitter
24,1904906234,Rakuten,1/2/2023 3:31:30 AM,32256.0,5659.0,0.0116752301978939,39.68468,459,Twitter
25,1649210829,Rakuten,1/2/2023 7:30:01 AM,130423.0,59699.0,0.0004082851586804,51.76222,4770,Facebook
26,-137445467,Rakuten,1/2/2023 7:30:30 AM,170704.0,33937.0,0.0002401444685319,18.93533,1937,Twitter
27,-1725793427,Rakuten,1/2/2023 9:04:12 AM,14597.0,14597.0,0.0053798058186624,0.6726357,635,Instagram
33,-2145085308,Rakuten,1/2/2023 9:05:30 AM,38114.0,5930.0,0.0026693105552166,7.214952,105,Twitter
39,1730130639,Rakuten,1/2/2023 9:07:20 AM,22016.0,3863.0,0.0146822102106173,38.71124,1733,Instagram
40,-1338540599,Rakuten,1/2/2023 9:37:30 AM,16353.0,2869.0,0.0050086443608257,16.40066,197,Twitter
41,528329235,Rakuten,1/2/2023 11:46:30 AM,13534.0,2375.0,0.0028723945094051,11.9662,113,Twitter
42,341047265,Rakuten,1/2/2023 5:06:00 PM,353488.0,0.0,0.0008215372521521,201.6789,9598,Facebook
43,920194072,Rakuten,1/2/2023 5:06:30 PM,67418.0,11828.0,0.0001517310542271,53.71648,1224,Twitter
44,-1705929996,Rakuten,1/2/2023 5:06:59 PM,716202.0,125650.0,0.0026173815168292,598.3425,71371,Instagram
45,-1125995074,Rakuten,1/2/2023 6:17:49 PM,3639.0,639.0,0.0011061182163843,4.091385,48,Twitter
46,139400111,Rakuten,1/2/2023 6:18:21 PM,7144.0,1254.0,0.0084604576475311,14.38953,843,Instagram
47,846327382,Rakuten,1/2/2023 6:18:27 PM,9221.0,0.0,0.0187513869369036,36.20907,1014,Facebook
48,-404646737,Rakuten,1/2/2023 7:27:11 PM,199014.0,0.0,0.0005008997707433,1387.984,5852,Facebook
51,-1840972972,Rakuten,1/2/2023 7:28:15 PM,115807.0,0.0,0.0001330107358134,386.595,1073,Twitter
55,-74506094,Rakuten,1/2/2023 7:40:58 PM,31106.0,31106.0,0.0005216049382716,0.1625129,845,YouTube
70,1106782833,Rakuten,1/2/2023 8:45:00 PM,787082.0,375000.0,0.0028552656446439,2.569146,33358,Facebook
88,1207870227,Rakuten,1/2/2023 8:45:00 PM,126485.0,28069.0,0.0002325438700332,0.188684,1876,Twitter
108,2125904861,Rakuten,1/2/2023 9:17:22 PM,149894.0,26298.0,0.000248414682944,91.05159,2004,Twitter
109,-750801342,Rakuten,1/2/2023 11:07:07 PM,627884.0,110156.0,0.0,206.8274,0,Instagram Story
110,-1623131952,Rakuten,1/3/2023 12:28:26 AM,7050.0,1237.0,0.0,2.365171,0,Instagram Story
111,-1256766571,Rakuten,1/3/2023 12:30:05 AM,3134.0,550.0,0.0,0.2176401,0,Instagram Story
119,1778772427,Rakuten,1/3/2023 1:14:00 AM,2751.0,483.0,0.0,0.002614576,0,Instagram Story
121,981707340,Rakuten,1/3/2023 1:14:14 AM,120768.0,0.0,0.0002140636204021,482.805,1727,Twitter
125,990928331,Rakuten,1/3/2023 1:15:38 AM,2521.0,443.0,0.0,2.070494,0,Instagram Story
127,-42985393,Rakuten,1/3/2023 1:21:44 AM,531687.0,93279.0,0.0,917.0778,0,Instagram Story
129,-690428537,Rakuten,1/3/2023 1:23:00 AM,506810.0,88915.0,0.0,909.241,0,Instagram Story
131,-2113601170,Rakuten,1/3/2023 1:30:27 AM,154783.0,0.0,0.0001515912682933,265.0948,1223,Twitter
134,-720881460,Rakuten,1/3/2023 1:30:58 AM,749815.0,0.0,0.0010339831221086,1831.677,12080,Facebook
137,1362009304,Rakuten,1/3/2023 1:31:42 AM,13391.0,3260.0,0.0023373983739837,14.58032,92,Twitter
141,-1881948053,Rakuten,1/3/2023 1:32:30 AM,931846.0,0.0,0.0037272868230017,3379.626,101636,Instagram
144,-1804812931,Rakuten,1/3/2023 1:41:03 AM,10298.0,1807.0,0.0020579268292682,68.94955,81,Twitter
145,-1233663471,Rakuten,1/3/2023 1:47:04 AM,237300.0,94162.0,0.000693230902811,34.64072,8099,Facebook
153,-507474697,Rakuten,1/3/2023 1:47:47 AM,93822.0,13497.0,0.0001078366906283,8.262449,870,Twitter
